timestamp,Instrument,GICS Sector Name,GICS Industry Group Name,GICS Industry Name,GICS Sub-Industry Name
309,DG.N,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail
310,SYF.N,Financials,Financial Services,Consumer Finance,Consumer Finance
311,TYL.N,Information Technology,Software & Services,Software,Application Software
312,PRU.N,Financials,Insurance,Insurance,Life & Health Insurance
313,NWS.OQ,Communication Services,Media & Entertainment,Media,Publishing
314,CTRA.N,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
315,STT.N,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
316,COF.N,Financials,Financial Services,Consumer Finance,Consumer Finance
317,BWA.N,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
318,EBAY.OQ,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Broadline Retail,Broadline Retail
319,FLT.N,Financials,Financial Services,Financial Services,Transaction & Payment Processing Services
320,T.N,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
321,NCLH.N,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
322,AMP.N,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
323,ACN.N,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
324,HAL.N,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
325,LLY.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
326,ABT.N,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
327,FDS.N,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
328,SBUX.OQ,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
329,VTRS.OQ,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
330,XEL.OQ,Utilities,Utilities,Electric Utilities,Electric Utilities
331,ATO.N,Utilities,Utilities,Gas Utilities,Gas Utilities
332,IQV.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
333,KDP.OQ,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Beverages
334,XYL.N,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
335,AVGO.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
336,PCG.N,Utilities,Utilities,Electric Utilities,Electric Utilities
337,NFLX.OQ,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
338,MS.N,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
339,KEYS.N,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
340,LHX.N,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
341,EL.N,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products
342,HCA.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Facilities
343,ON.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
344,FDX.N,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
345,JNJ.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
346,ALLE.N,Industrials,Capital Goods,Building Products,Building Products
347,CI.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care  Services
348,IPG.N,Communication Services,Media & Entertainment,Media,Advertising
349,RJF.N,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
350,WAT.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
351,IFF.N,Materials,Materials,Chemicals,Specialty Chemicals
352,LIN.N,Materials,Materials,Chemicals,Industrial Gases
353,PHM.N,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
354,PPL.N,Utilities,Utilities,Electric Utilities,Electric Utilities
355,UAL.OQ,Industrials,Transportation,Passenger Airlines,Passenger Airlines
356,MCD.N,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
357,LNC.N,Financials,Insurance,Insurance,Life & Health Insurance
358,NVDA.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
359,WM.N,Industrials,Commercial  & Professional Services,Commercial Services & Supplies,Environmental & Facilities Services
360,HBAN.OQ,Financials,Banks,Banks,Regional Banks
361,MA.N,Financials,Financial Services,Financial Services,Transaction & Payment Processing Services
362,TRV.N,Financials,Insurance,Insurance,Property & Casualty Insurance
363,MET.N,Financials,Insurance,Insurance,Life & Health Insurance
364,WRB.N,Financials,Insurance,Insurance,Property & Casualty Insurance
365,XRAY.OQ,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
366,OMC.N,Communication Services,Media & Entertainment,Media,Advertising
367,ETSY.OQ,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Broadline Retail,Broadline Retail
368,EMN.N,Materials,Materials,Chemicals,Specialty Chemicals
369,EQR.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,Multi-Family Residential REITs
370,GOOGL.OQ,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
371,INTC.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
372,AJG.N,Financials,Insurance,Insurance,Insurance Brokers
373,MOH.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
374,WELL.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,Health Care REITs
375,UPS.N,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
376,EOG.N,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
377,DIS.N,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
378,PTC.OQ,Information Technology,Software & Services,Software,Application Software
379,BKNG.OQ,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
380,IBM.N,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
381,FCX.N,Materials,Materials,Metals & Mining,Copper
382,WTW.OQ,Financials,Insurance,Insurance,Insurance Brokers
383,INCY.OQ,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
384,PNC.N,Financials,Banks,Banks,Diversified Banks
385,DRI.N,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
386,FICO.N,Information Technology,Software & Services,Software,Application Software
387,TDY.N,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
388,EXC.OQ,Utilities,Utilities,Electric Utilities,Electric Utilities
389,GIS.N,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
390,FTV.N,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
391,CNC.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
392,ODFL.OQ,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
393,XOM.N,Energy,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
394,PNR.N,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
395,APA.OQ,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
396,EPAM.N,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
397,LVS.N,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
398,NWSA.OQ,Communication Services,Media & Entertainment,Media,Publishing
399,A.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
400,ORLY.OQ,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail
401,DISH.OQ,Communication Services,Media & Entertainment,Media,Cable & Satellite
402,AAPL.OQ,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
403,ELV.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Managed Health Care
404,QCOM.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
405,GS.N,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
406,AWK.N,Utilities,Utilities,Water Utilities,Water Utilities
407,CTLT.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
408,F.N,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers
409,LOW.N,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Home Improvement Retail
410,SCHW.N,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
411,GE.N,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
412,BG.N,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Services
413,PGR.N,Financials,Insurance,Insurance,Property & Casualty Insurance
414,SBAC.OQ,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Telecom Tower REITs
415,PKG.N,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials
416,LEN.N,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
417,GOOG.OQ,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
418,KEY.N,Financials,Banks,Banks,Diversified Banks
419,LNT.OQ,Utilities,Utilities,Electric Utilities,Electric Utilities
420,TT.N,Industrials,Capital Goods,Building Products,Building Products
421,GWW.N,Industrials,Capital Goods,Trading Companies & Distributors,Trading Companies & Distributors
422,DGX.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care  Services
423,RF.N,Financials,Banks,Banks,Regional Banks
424,BAC.N,Financials,Banks,Banks,Diversified Banks
425,CDAY.N,Industrials,Commercial  & Professional Services,Professional Services,Human Resource & Employment Services
426,AMAT.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment
427,AMCR.N,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials
428,PEG.N,Utilities,Utilities,Multi-Utilities,Multi-Utilities
429,NDSN.OQ,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
430,USB.N,Financials,Banks,Banks,Diversified Banks
431,PG.N,Consumer Staples,Household & Personal Products,Household Products,Household Products
432,VZ.N,Communication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
433,BKR.OQ,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
434,FOXA.OQ,Communication Services,Media & Entertainment,Media,Broadcasting
435,MAA.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,Multi-Family Residential REITs
436,LYV.N,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
437,CCI.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Telecom Tower REITs
438,TPR.N,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
439,ITW.N,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
440,OKE.N,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
441,LMT.N,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
442,BFb.N,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
443,VRTX.OQ,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology
444,TFC.N,Financials,Banks,Banks,Regional Banks
445,AZO.N,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Automotive Retail
446,CBRE.N,Real Estate,Real Estate Management & Development,Real Estate Management & Development,Real Estate Services
447,AMD.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
448,NDAQ.OQ,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
449,DHR.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Life Sciences Tools & Services,Life Sciences Tools & Services
450,CSX.OQ,Industrials,Transportation,Ground Transportation,Rail Transportation
451,WRK.N,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials
452,FFIV.OQ,Information Technology,Technology Hardware & Equipment,Communications Equipment,Communications Equipment
453,FOX.OQ,Communication Services,Media & Entertainment,Media,Broadcasting
454,RCL.N,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
455,VLO.N,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
456,MDLZ.OQ,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
457,WEC.N,Utilities,Utilities,Multi-Utilities,Multi-Utilities
458,BEN.N,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks
459,IR.N,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplies & Components
460,YUM.N,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
461,IDXX.OQ,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
462,HSIC.OQ,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
463,VICI.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Other Specialized REITs
464,NI.N,Utilities,Utilities,Multi-Utilities,Multi-Utilities
465,COO.N,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Supplies
466,PFG.OQ,Financials,Insurance,Insurance,Life & Health Insurance
467,LYB.N,Materials,Materials,Chemicals,Commodity Chemicals
468,J.N,Industrials,Commercial  & Professional Services,Professional Services,Research & Consulting Services
469,HPE.N,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
470,DAL.N,Industrials,Transportation,Passenger Airlines,Passenger Airlines
471,DD.N,Materials,Materials,Chemicals,Specialty Chemicals
472,UDR.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs,Multi-Family Residential REITs
473,DOW.N,Materials,Materials,Chemicals,Commodity Chemicals
474,BBY.N,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Specialty Retail,Computer & Electronics Retail
475,COST.OQ,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,Consumer Staples Merchandise Retail
476,RL.N,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
477,CBOE.Z,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
478,JCI.N,Industrials,Capital Goods,Building Products,Building Products
479,PLD.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Industrial REITs,Industrial REITs
480,VMC.N,Materials,Materials,Construction Materials,Construction Materials
481,CTVA.N,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals
482,L.N,Financials,Insurance,Insurance,Property & Casualty Insurance
483,GNRC.N,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipment
484,EVRG.OQ,Utilities,Utilities,Electric Utilities,Electric Utilities
485,AMT.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Telecom Tower REITs
486,V.N,Financials,Financial Services,Financial Services,Transaction & Payment Processing Services
487,HIG.N,Financials,Insurance,Insurance,Multi-line Insurance
488,EW.N,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment
489,VTR.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,Health Care REITs
490,FANG.OQ,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
491,BMY.N,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceuticals,Pharmaceuticals
492,ABC.N,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors
493,STX.OQ,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
494,INTU.OQ,Information Technology,Software & Services,Software,Application Software
495,QRVO.OQ,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors
496,DLR.N,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Data Center REITs
497,CDW.OQ,Information Technology,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Technology Distributors
